主管機關,中心名稱,連絡電話,傳真,電子郵件,地址,相關網站,X坐標,Y坐標,備註,最後更新時間
台東縣政府,台東縣長青活動中心,(089)328423,,,臺東縣臺東市東海里4鄰博愛路421號,,264813.9,2516914.25,,20160324
台東縣政府,賓朗老人文康中心,(089)222475,,,臺東縣卑南鄉賓朗村18鄰賓朗路474巷3之1號,,259534.06,2523071.98,,20160324
台東縣政府,卑南老人暨多功能活動中心,(089)570923,,,臺東縣卑南鄉初鹿村5鄰忠孝路165號,,259494.35,2528855.14,,20160324
台東縣政府,鹿野鄉老人文康活動中心,(089)581515,,,臺東縣鹿野鄉瑞和村4鄰瑞景路三段195號,,265823.51,2542292.21,,20160324
台東縣政府,關山鎮老人文康中心,(089)812181,,,臺東縣關山鎮豐泉里3鄰忠孝路18巷2號,,266656.26,2550033.74,,20160324
台東縣政府,成功鎮老人會館,(089)853317,,,臺東縣成功鎮忠仁里23鄰民富路45號,,289305.23,2555494.04,,20160324
台東縣政府,台東縣長濱鄉老人會館,(089)832569,,,台東縣長濱鄉長濱村中興路7鄰48號,,,,,20160324
台東縣政府,台東縣池上鄉福文老人文康中心,(089)862490,,,臺東縣池上鄉福文村中西三路136號,,,,,20160324
台東縣政府,台東縣池上鄉大埔老人活動中心,0935685593,,,臺東縣池上鄉大埔村2鄰大埔14號,,272023.97,2557683.48,,20160324
台東縣政府,台東縣池上鄉錦園老人活動中心,(089)359586,,,臺東縣池上鄉錦園村1鄰3之1號,,,,,20160324
台東縣政府,台東縣鹿野鄉老人文康活動中心,(089)581515,,,臺東縣鹿野鄉瑞和村4鄰瑞景路3段195號,,265823.51,2542292.21,,20160324
台東縣政府,台東市老人文康活動中心,(089)328423,,,臺東縣臺東市東海里4鄰博愛路421號,,264813.9,2516914.25,,20160324
台東縣政府,台東縣大武鄉大武老人會館,(089)792680,,,臺東縣大武鄉大武村10鄰大武街10號,,,,,20160324
台東縣政府,台東縣大武鄉尚武老人會館,(089)791195,,,臺東縣大武鄉尚武村9鄰學府路2號,,,,,20160324
台東縣政府,台東縣太麻里鄉老人會,(089)781301,,,台東縣太麻里鄉大王村大王137之3號,,,,,20160324
