性質,主管機關,辦理單位,單位名稱,連絡電話,傳真,電子郵件,地址,相關網站,X坐標,Y坐標,備註,最後更新時間
公立,台東縣政府,衛生局,台東縣衛生局,(089)331171,,,臺東縣臺東市博愛路336號,,265268.05,2517449.88,,20170930
公立,台東縣政府,衛生局,台東市衛生所,(089)350757,,,臺東縣臺東市大同路51號,,266045.62,2516651.24,,20170930
公立,台東縣政府,衛生局,卑南鄉衛生所,(089)382042,,,臺東縣卑南鄉太平村和平路132號,,259042.54,2520154.24,,20170930
公立,台東縣政府,衛生局,延平鄉衛生所,(089)561040,,,臺東縣延平鄉桃源村昇平路一鄰十一號,,258787.88,2533446.03,,20170930
公立,台東縣政府,衛生局,鹿鄉野衛生所,(089)550722,,,臺東縣鹿野鄉中華路1段418號,,263987.59,2534354.42,,20170930
公立,台東縣政府,衛生局,關山鎮衛生所,(089)811042,,,臺東縣關山鎮中華路78號,,266790.91,2549781.62,,20170930
公立,台東縣政府,衛生局,海端鄉衛生所,(089)931391,,,臺東縣海端鄉海端村山界29號,,268099.73,2555471.72,,20170930
公立,台東縣政府,衛生局,池上鄉衛生所,(089)862609,,,臺東縣池上鄉中山路104號,,272000.98,2557774.22,,20170930
公立,台東縣政府,衛生局,成功鎮衛生所,(089)851419,,,臺東縣成功鎮中山東路64號,,288871.75,2555399.17,,20170930
公立,台東縣政府,衛生局,太麻里鄉衛生所,(089)781220,,,臺東縣太麻里鄉泰和村民權路66號,,250763.12,2501693.59,,20170930
公立,台東縣政府,衛生局,大武鄉衛生所,(089)791143,,,臺東縣大武鄉大武村濱海路100號,,240106.19,2472969.28,,20170930
公立,台東縣政府,衛生局,蘭嶼鄉衛生所,(089)732575,,,臺東縣蘭嶼鄉,,,,,20170930
公立,台東縣政府,衛生局,綠島鄉衛生所,(089)672511,,,臺東縣綠島鄉,,,,,20170930
公立,台東縣政府,衛生局,金峰鄉衛生所,(089)772201,,,臺東縣金峰鄉,,,,,20170930
公立,台東縣政府,衛生局,達仁鄉衛生所,(089)702209,,,臺東縣達仁鄉,,,,,20170930
