性質,主管機關,辦理單位,成立日期,立案文號,負責人,連絡電話,傳真,地址,相關網站,X坐標,Y坐標,備註,最後更新時間
私立,臺東縣政府,天主教花蓮教區醫療財團法人臺東聖母醫院,,,,(089)322833轉371,,臺東縣臺東市杭州街2號,,265036.15,2517452.46,,20170911
私立,臺東縣政府,台灣原住民族部落終身學習發展協會,,,,(089)780377,,臺東縣太麻里鄉太麻里街253號,,250565.9,2501150.14,,20170911
私立,臺東縣政府,天主教花蓮教區醫療財團法人臺東聖母醫院,,,,(089)322833,,臺東縣臺東市杭州街2號,,265036.15,2517452.46,,20170911
私立,臺東縣政府,財團法人蘭嶼部落文化基金會,,,,(089)731000,,臺東縣蘭嶼鄉椰油村1鄰椰油12之1號,,303009.13,2439222.28,,20170911
私立,臺東縣政府,財團法人天主教會花蓮教區,,,,(089)852190,,臺東縣成功鎮中華路150號,,289037.19,2555556.89,,20170911
私立,臺東縣政府,財團法人天主教會花蓮教區,,,,(089)852190,,臺東縣成功鎮中華路150號,,289037.19,2555556.89,,20170911
私立,臺東縣政府,臺東縣鹿野鄉日佧地關懷協會,,,,(089)550580,,臺東縣鹿野鄉鹿野村中華路二段103號,,263941.98,2534674.43,,20170911
私立,臺東縣政府,財團法人一粒麥子社會福利慈善事業基金會,,,,(089)960200,,臺東縣寧波街195號,,265139.17,2518267.15,,20170911
私立,臺東縣政府,財團法人天主教會花蓮教區,,,,(089)852190,,臺東縣成功鎮中華路150號,,289037.19,2555556.89,,20170911
私立,臺東縣政府,社團法人臺東縣失智者關懷協會,,,,(089)380900,,臺東縣卑南鄉太平村民生路86巷26號,,260635.18,2520192.49,,20170911
私立,臺東縣政府,財團法人蘭嶼部落文化基金會,,,,(089)731000,,臺東縣蘭嶼鄉椰油村1鄰椰油12之1號,,303009.13,2439222.28,,20170911
